make,model,year,vin,price
Mercedes-Benz,S-Class,1997,WAUSH78E47A923500,$9643.13
Lexus,SC,2008,19UUB2F58FA679823,$9231.30
Bentley,Continental Flying Spur,2011,3G5DB03E95S720374,$8112.71
Lincoln,Mark VIII,1994,WBS3C9C59FP303397,$3346.00
Porsche,911,2010,1G6YX36D765797842,$4602.70
Oldsmobile,88,1995,4T1BD1EB0FU061696,$7988.06
Lamborghini,Countach,1988,WBAPH53509A345030,$9178.00
Ford,Fusion,2009,WUAW2BFC4FN354930,$2045.75
Mercedes-Benz,E-Class,1996,JTHDU1EF6A5807456,$2166.19
Mazda,626,1999,1N6AD0CUXAC923557,$4477.02
Chrysler,Sebring,2005,WBABN53452P417272,$4967.63
Mercury,Sable,1996,SCBGH3ZA9EC288338,$4561.90
Bentley,Continental GT,2007,1G6DH577680267281,$2400.32
MINI,Cooper,2012,3D4PH6FV2AT539658,$7900.96
Suzuki,Equator,2009,WAUFFAFM0CA275484,$9714.65
Infiniti,FX,2011,WBAGL635X4D004066,$1545.56
Ford,F150,2000,WP0AA2A98BS550824,$6075.59
GMC,Sierra 2500,2009,3N1AB7AP0FL257807,$3244.57
Mercedes-Benz,S-Class,1991,NM0KS7DN4AT674490,$4172.83
Mercedes-Benz,CLK-Class,2007,WBAGN63484D411398,$6202.03
Volkswagen,Type 2,1986,1FTWW3B57AE731500,$4571.36
Subaru,Tribeca,2007,1G6DG5EG2A0072418,$9700.27
Dodge,Viper,2001,3VWML7AJ7EM555991,$7488.77
Land Rover,Defender 90,1994,1GKS1CKJ4FR231523,$1640.67
Mazda,626,1995,JH4KB16568C313624,$662.38
Volvo,S80,2000,5GAKVBED8CJ560026,$5985.57
Aston Martin,V8 Vantage S,2011,3N1AB7AP4FL599132,$5709.58
Acura,RL,2004,WAUPFAFM1AA677953,$7632.76
Toyota,Corolla,2010,1N6AA0EJ4FN809450,$750.09
Isuzu,i-350,2006,JTDKDTB37E1064687,$2891.81
Subaru,Impreza,2003,WBASN2C53DC957995,$7482.35
